id,code,name,address,state,zone
3792,KRW,Kharwa,"Ajmer, Rajasthan",Rajasthan,NWR
3793,KRX,Kurud,,,SECR
3794,KRXM,"Krishnamohan Halt","Krishnamohan, West Bengal","West Bengal",ER
3795,KRY,Kadiri,"Kadiri, Andhra Pradesh","Andhra Pradesh",SCR
3796,KRYA,Kurraiya,"Chauhan Rd, Uttar Pradesh","Uttar Pradesh",NER
3797,KRZ,Kharawar,"Kharawar, Haryana",Haryana,NR
3798,KS,"Kheta Sarai","Nawab Yousuf Rd, Uttar Pradesh","Uttar Pradesh",NR
3799,KSA,Khasa,"Khasa, Punjab",Punjab,NR
3800,KSAE,Kosai,"Kinwat, Maharashtra",Maharashtra,SCR
3801,KSAI,"Kosadi Halt","Mosali, Gujarat",Gujarat,WR
3802,KSAR,"Kudala Sangam","NH 13, Karnataka",Karnataka,SWR
3803,KSB,"Kosamba Junction","Kosamba, Gujarat",Gujarat,WR
3804,KSBG,"Khusta Buzurg","Amravati, Maharashtra",Maharashtra,CR
3805,KSBP,Keshabpur,"Haldia Mechada via Tamluk, West Bengal","West Bengal",SER
3806,KSC,"Kashi Chak","Nalanda, Bihar",Bihar,ECR
3807,KSD,Keshod,"Keshod, Gujarat",Gujarat,WR
3808,KSDE,Karsindhu,"Panipat, Haryana",Haryana,NR
3809,KSE,Kosad,"Surat, Gujarat",Gujarat,WR
3810,KSF,Khalispur,"Phulpur, Uttar Pradesh","Uttar Pradesh",NR
3811,KSG,Kishangarh,"Kishangarh, Rajasthan",Rajasthan,NWR
3812,KSGL,Karasangal,"Muthu Nagar, Tamil Nadu","Tamil Nadu",SR
3813,KSH,"Kali Sindh","Shajapur, Madhya Pradesh","Madhya Pradesh",WR
3814,KSI,Kosli,"Tumna Rd, Haryana",Haryana,NWR
3815,KSJ,KasGanj,"Kasganj, Uttar Pradesh","Uttar Pradesh",NER
3816,KSJF,"Kasganj Mg","Kasganj, Uttar Pradesh","Uttar Pradesh",NER
3817,KSK,Kasimkota,"Visakhapatnam District, Andhra Pradesh","Andhra Pradesh",SCR
3818,KSM,Kamasamudram,"Kolar Gold Fields, Karnataka",Karnataka,SWR
3819,KSMB,"Kastla Kasmabad","Kastla Kasmabad, Bihar",Bihar,ECR
3820,KSN,Krishna,"Gulbarga, Karnataka",Karnataka,SCR
3821,KSNG,Kesinga,"Kesinga, Orissa",Orissa,ECoR
3822,KSNR,"Khushal Nagar","Ghughli Bazar, Uttar Pradesh","Uttar Pradesh",NER
3823,KSO,Khemasuli,"Kharagpur, West Bengal","West Bengal",SER
3824,KSP,Kishanpur,"Samastipur, Bihar",Bihar,ECR
3825,KSPR,"Kashipura Sarar","GIDC Industrial Area, Gujarat",Gujarat,WR
3826,KSQ,"Kanspur Gugauli","National Highway 2, Uttar Pradesh","Uttar Pradesh",NCR
3827,KSR,Kasturi,"MDR 18E, Uttar Pradesh","Uttar Pradesh",NER
3828,KSRA,Kasara,"Kasara, Maharashtra",Maharashtra,CR
3829,KSRK,"Kasrak Halt","Katra, Uttar Pradesh","Uttar Pradesh",NR
3830,KSTA,Kastha,"Gaya, Bihar",Bihar,ECR
3831,KSTE,"Krishnamsetty Palle","Prakasam, Andhra Pradesh","Andhra Pradesh",SCR
3832,KSTH,Kashti,"Daund, Maharashtra",Maharashtra,CR
3833,KSU,Kushtaur,"Purulia, West Bengal","West Bengal",SER
3834,KSUA,Kashipura,"State Highway 59, Gujarat",Gujarat,WR
3835,KSV,"Kosi Kalan","Kosi Kalan, Uttar Pradesh","Uttar Pradesh",NCR
3836,KSVM,Kesavaram,"Kesavaram, Andhra Pradesh","Andhra Pradesh",SCR
3837,KSW,"Kheri Salwa","Jajiwal, Rajasthan",Rajasthan,NWR
3838,KSWD,"Kasar Wadi","Pimpri Chinchwad, Maharashtra",Maharashtra,CR
3839,KSWR,Kalmeshwar,"Kalameshwar, Maharashtra",Maharashtra,CR
3840,KSX,Kotshila,"Purulia District, West Bengal","West Bengal",SER
3841,KSY,Kusiargaon,"National Highway 57, Bihar",Bihar,NFR
3842,KT,Kumta,"Kumta, Karnataka",Karnataka,KR
3843,KTA,Kushtala,"NH 116, Rajasthan",Rajasthan,WCR
3844,KTAL,Kathalal,"Kathalal, Gujarat",Gujarat,WR
3845,KTBR,"Kasturba Nagar","Chennai, Tamil Nadu","Tamil Nadu",SR
3846,KTCE,Katoghan,"National Highway 2, Uttar Pradesh","Uttar Pradesh",NCR
3847,KTCH,Kaithalkuchi,"National HIghway 31, Assam",Assam,NFR
3848,KTCR,Katlichera,"Kothacheruvu Railway Station, Andhra Pradesh","Andhra Pradesh",SCR
3849,KTD,Kantadih,"National Highway 32, West Bengal","West Bengal",SER
3850,KTDD,"Kataiya Dandi","Kataiya, Uttar Pradesh","Uttar Pradesh",NCR
3851,KTE,Katni,"Katni, Madhya Pradesh","Madhya Pradesh",WCR
3852,KTF,"Kot Fatteh","Bathinda, Punjab",Punjab,NR
3853,KTGA,Keutguda,"Keutguda, Orissa",Orissa,ECoR
3854,KTGD,"Koth Gangad","Koth, Gujarat",Gujarat,WR
3855,KTGM,Kayasthagram,"National Highway 44, Assam",Assam,NFR
3856,KTH,Katrasgarh,"Katrasgarh, Jharkhand",Jharkhand,ECR
3857,KTHA,Khutaha,"MDR 11, Madhya Pradesh","Madhya Pradesh",WCR
3858,KTHD,"Kothari Road","Kothari, Chhattisgarh",Chhattisgarh,SECR
3859,KTHE,Katahri,"Katehri, Uttar Pradesh","Uttar Pradesh",NR
3860,KTHL,Kathola,"MDR 18E, Uttar Pradesh","Uttar Pradesh",NER
3861,KTHU,Kathua,"Kathua, Jammu and Kashmir","Jammu and Kashmir",NR
3862,KTI,Kanti,"Kanti, Bihar",Bihar,ECR
3863,KTJ,Khaltipur,"Sultanganj, West Bengal","West Bengal",ER
3864,KTJI,"Katha Jori","Cuttack, Orissa",Orissa,ECoR
3865,KTK,"Kyataneakeri Road","Bijapur, Karnataka",Karnataka,SWR
3866,KTKA,Kotakadra,"Kotakadra, Andhra Pradesh","Andhra Pradesh",SCR
3867,KTKD,"Katangi Khurd","State Highway 10, Madhya Pradesh","Madhya Pradesh",WCR
3868,KTKH,Kotlakheri,"East Nimar, Madhya Pradesh","Madhya Pradesh",WR
3869,KTKL,"Kotli Kalan","State Highway 12A, Punjab",Punjab,NR
3870,KTKR,"Kumtha Khurd","State Highway 217, Maharashtra",Maharashtra,SCR
3871,KTLA,"Katkola Junction","Katkola Junction, Gujarat",Gujarat,WR
3872,KTLR,"Kanthaliya Road","Khagraghat - Chowrigacha, West Bengal","West Bengal",ER
3873,KTM,Kutralam,"Kuthalam, Tamil Nadu","Tamil Nadu",SR
3874,KTMA,Kotma,"Kotma, Madhya Pradesh","Madhya Pradesh",SECR
